sr_no,prayer_date,suhoor_end,fajr_begin,sunrise_begin,zawaal_begin,zuhr_begin,asr_begin,sunset_begin,maghrib_begin,isha_begin,fajr_jamaat,zuhr_jamaat,asr_jamaat,maghrib_jamaat,isha_jamaat,jumu-ah_jamaat,eid_jamaat
1,01-Jan,6:33 AM,6:38 AM,8:18 AM,12:13 PM,12:19 PM,2:29 PM,4:15 PM,4:18 PM,5:54 PM,7:00 AM,1:00 PM,3:00 PM,4:18 PM,6:30 PM,1:00 PM,9:00 AM
2,02-Jan,6:33 AM,6:38 AM,8:18 AM,12:13 PM,12:19 PM,2:29 PM,4:16 PM,4:19 PM,5:54 PM,7:00 AM,1:00 PM,3:00 PM,4:19 PM,6:30 PM,1:00 PM,9:00 AM
3,03-Jan,6:33 AM,6:38 AM,8:18 AM,12:14 PM,12:20 PM,2:32 PM,4:17 PM,4:20 PM,5:55 PM,7:00 AM,1:00 PM,3:00 PM,4:20 PM,6:30 PM,1:00 PM,9:00 AM
4,04-Jan,6:32 AM,6:37 AM,8:17 AM,12:14 PM,12:20 PM,2:33 PM,4:18 PM,4:21 PM,5:56 PM,7:00 AM,1:00 PM,3:00 PM,4:21 PM,6:30 PM,1:00 PM,9:00 AM
5,05-Jan,6:32 AM,6:37 AM,8:17 AM,12:15 PM,12:21 PM,2:34 PM,4:19 PM,4:22 PM,5:57 PM,7:00 AM,1:00 PM,3:00 PM,4:22 PM,6:30 PM,1:00 PM,9:00 AM
6,06-Jan,6:32 AM,6:37 AM,8:17 AM,12:15 PM,12:21 PM,2:35 PM,4:20 PM,4:23 PM,5:58 PM,7:00 AM,1:00 PM,3:00 PM,4:23 PM,6:30 PM,1:00 PM,9:00 AM
7,07-Jan,6:32 AM,6:37 AM,8:16 AM,12:16 PM,12:22 PM,2:36 PM,4:22 PM,4:25 PM,5:59 PM,7:00 AM,1:00 PM,3:00 PM,4:25 PM,6:30 PM,1:00 PM,9:00 AM
8,08-Jan,6:31 AM,6:36 AM,8:16 AM,12:16 PM,12:22 PM,2:38 PM,4:23 PM,4:26 PM,6:00 PM,7:00 AM,1:00 PM,3:00 PM,4:26 PM,6:30 PM,1:00 PM,9:00 AM
9,09-Jan,6:31 AM,6:36 AM,8:16 AM,12:17 PM,12:23 PM,2:39 PM,4:24 PM,4:27 PM,6:01 PM,7:00 AM,1:00 PM,3:00 PM,4:27 PM,6:30 PM,1:00 PM,9:00 AM
10,10-Jan,6:31 AM,6:36 AM,8:15 AM,12:17 PM,12:23 PM,2:40 PM,4:26 PM,4:29 PM,6:03 PM,7:00 AM,1:00 PM,3:00 PM,4:29 PM,6:30 PM,1:00 PM,9:00 AM
11,11-Jan,6:30 AM,6:35 AM,8:14 AM,12:17 PM,12:23 PM,2:42 PM,4:27 PM,4:30 PM,6:04 PM,7:00 AM,1:00 PM,3:15 PM,4:30 PM,6:45 PM,1:00 PM,9:00 AM
12,12-Jan,6:30 AM,6:35 AM,8:14 AM,12:18 PM,12:24 PM,2:43 PM,4:29 PM,4:32 PM,6:05 PM,7:00 AM,1:00 PM,3:15 PM,4:32 PM,6:45 PM,1:00 PM,9:00 AM
13,13-Jan,6:29 AM,6:34 AM,8:13 AM,12:18 PM,12:24 PM,2:44 PM,4:30 PM,4:33 PM,6:06 PM,7:00 AM,1:00 PM,3:15 PM,4:33 PM,6:45 PM,1:00 PM,9:00 AM
14,14-Jan,6:28 AM,6:33 AM,8:12 AM,12:19 PM,12:25 PM,2:46 PM,4:32 PM,4:35 PM,6:07 PM,7:00 AM,1:00 PM,3:15 PM,4:35 PM,6:45 PM,1:00 PM,9:00 AM
15,15-Jan,6:28 AM,6:33 AM,8:12 AM,12:19 PM,12:25 PM,2:47 PM,4:33 PM,4:36 PM,6:09 PM,7:00 AM,1:00 PM,3:15 PM,4:36 PM,6:45 PM,1:00 PM,9:00 AM
16,16-Jan,6:27 AM,6:32 AM,8:11 AM,12:19 PM,12:25 PM,2:49 PM,4:35 PM,4:38 PM,6:10 PM,7:00 AM,1:00 PM,3:15 PM,4:38 PM,6:45 PM,1:00 PM,9:00 AM
17,17-Jan,6:26 AM,6:31 AM,8:10 AM,12:20 PM,12:26 PM,2:50 PM,4:36 PM,4:39 PM,6:11 PM,7:00 AM,1:00 PM,3:15 PM,4:39 PM,6:45 PM,1:00 PM,9:00 AM
18,18-Jan,6:25 AM,6:30 AM,8:09 AM,12:20 PM,12:26 PM,2:52 PM,4:38 PM,4:41 PM,6:13 PM,7:00 AM,1:00 PM,3:30 PM,4:41 PM,6:45 PM,1:00 PM,9:00 AM
